Frame,Time,1_pos_X,1_pos_Y,1_pos_Z,2_pos_X,2_pos_Y,2_pos_Z,3_pos_X,3_pos_Y,3_pos_Z,4_pos_X,4_pos_Y,4_pos_Z,C_pos_X,C_pos_Y,C_pos_Z
357,3.56,224.926,122.64,38.061,226.415,273.676,36.137,375.387,272.302,34.087,373.196,122.677,38.156,303.304,196.303,56.546
358,3.57,224.902,122.669,38.116,226.432,273.663,36.164,375.371,272.297,34.083,373.217,122.654,38.171,303.306,196.322,56.544
359,3.58,224.914,122.654,38.06,226.419,273.671,36.179,375.411,272.297,34.107,373.211,122.699,38.166,303.289,196.298,56.545
360,3.59,224.931,122.666,38.066,226.431,273.67,36.16,375.407,272.287,34.11,373.189,122.629,38.112,303.311,196.331,56.542
361,3.6,224.942,122.668,38.074,226.424,273.664,36.14,375.397,272.293,34.097,373.23,122.7,38.162,303.29,196.324,56.569
362,3.61,224.925,122.654,38.108,226.407,273.649,36.151,375.418,272.31,34.111,373.202,122.68,38.168,303.314,196.298,56.554
363,3.62,224.913,122.661,38.059,226.403,273.663,36.154,375.396,272.292,34.098,373.21,122.648,38.117,303.315,196.34,56.547
364,3.63,224.918,122.661,38.085,226.411,273.671,36.145,375.392,272.283,34.098,373.186,122.64,38.126,303.299,196.334,56.54
365,3.64,224.907,122.665,38.107,226.422,273.673,36.154,375.407,272.286,34.11,373.237,122.69,38.168,303.316,196.323,56.564
366,3.65,224.917,122.656,38.078,226.427,273.657,36.141,375.397,272.294,34.098,373.205,122.671,38.165,303.296,196.318,56.533
367,3.66,224.897,122.674,38.082,226.434,273.659,36.161,375.395,272.31,34.1,373.224,122.685,38.159,303.314,196.301,56.545
368,3.67,224.914,122.643,38.075,226.434,273.645,36.171,375.397,272.299,34.087,373.189,122.674,38.16,303.317,196.321,56.534
369,3.68,224.925,122.653,38.063,226.401,273.647,36.139,375.398,272.311,34.095,373.192,122.67,38.158,303.315,196.321,56.525
370,3.69,224.9,122.662,38.072,226.429,273.672,36.148,375.406,272.304,34.107,373.197,122.684,38.158,303.306,196.317,56.535
371,3.7,224.907,122.646,38.058,226.431,273.661,36.148,375.413,272.315,34.089,373.211,122.678,38.148,303.319,196.297,56.546
372,3.71,224.932,122.642,38.064,226.422,273.667,36.163,375.398,272.28,34.081,373.188,122.611,38.123,303.307,196.326,56.546
373,3.72,224.903,122.64,38.067,226.411,273.661,36.138,375.383,272.291,34.084,373.213,122.658,38.18,303.306,196.302,56.546
374,3.73,224.922,122.668,38.091,226.426,273.667,36.146,375.41,272.303,34.098,373.211,122.672,38.161,303.307,196.274,56.527
375,3.74,224.92,122.681,38.097,226.413,273.645,36.143,375.412,272.297,34.093,373.217,122.68,38.161,303.319,196.285,56.506
376,3.75,224.937,122.657,38.079,226.437,273.675,36.148,375.403,272.303,34.096,373.195,122.661,38.157,303.321,196.294,56.508
377,3.76,224.919,122.656,38.073,226.433,273.696,36.158,375.417,272.298,34.085,373.225,122.661,38.172,303.289,196.275,56.541
378,3.77,224.934,122.671,38.073,226.427,273.689,36.16,375.423,272.319,34.109,373.224,122.686,38.158,303.315,196.306,56.502
379,3.78,224.905,122.675,38.078,226.427,273.674,36.156,375.41,272.319,34.087,373.216,122.676,38.165,303.29,196.305,56.545
380,3.79,224.925,122.657,38.07,226.419,273.685,36.137,375.396,272.281,34.086,373.225,122.67,38.18,303.332,196.309,56.536
381,3.8,224.928,122.687,38.104,226.419,273.682,36.166,375.396,272.292,34.098,373.223,122.68,38.177,303.306,196.308,56.53
382,3.81,224.922,122.647,38.086,226.423,273.66,36.151,375.414,272.316,34.077,373.202,122.67,38.161,303.323,196.312,56.543
383,3.82,224.935,122.664,38.056,226.409,273.683,36.126,375.399,272.291,34.093,373.197,122.669,38.182,303.295,196.314,56.534
384,3.83,224.907,122.638,38.095,226.403,273.646,36.136,375.406,272.307,34.101,373.213,122.685,38.145,303.299,196.298,56.542
