NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:55
DATA_INCLUDED	Acceleration
DATA_TYPES	2_acc_X	2_acc_Y	2_acc_Z	3_acc_X	3_acc_Y	3_acc_Z	4_acc_X	4_acc_Y	4_acc_Z	C_acc_X	C_acc_Y	C_acc_Z	1_acc_X	1_acc_Y	1_acc_Z

Frame	Time	2_acc_X	2_acc_Y	2_acc_Z	3_acc_X	3_acc_Y	3_acc_Z	4_acc_X	4_acc_Y	4_acc_Z	C_acc_X	C_acc_Y	C_acc_Z	1_acc_X	1_acc_Y	1_acc_Z	
357	3.56000	15.639	-308.575	415.394	-217.994	-22.941	-39.734	153.508	-289.286	85.843	6.037	383.204	57.899	-410.507	619.500	1065.923
358	3.57000	-303.086	198.513	-131.246	564.455	45.197	276.123	-268.746	686.721	-215.537	-192.119	-423.486	17.959	360.248	-441.436	-1109.346
359	3.58000	246.105	-83.571	-327.616	-448.302	-95.036	-209.372	-164.314	-1146.807	-484.497	386.024	557.751	-29.074	48.846	272.213	623.703
360	3.59000	-191.065	-51.045	-15.051	-53.476	163.939	-154.700	629.514	1410.646	1046.376	-424.345	-393.225	293.288	-58.107	-97.570	17.379
361	3.60000	-90.013	-91.417	309.318	316.439	99.275	259.493	-679.648	-916.865	-442.144	452.179	-186.740	-408.536	-280.644	-164.113	259.877
362	3.61000	121.890	288.116	-76.619	-434.641	-340.806	-260.937	350.657	-115.803	-580.304	-237.119	671.202	67.507	53.538	210.378	-826.445
363	3.62000	122.595	-60.181	-127.194	173.405	88.876	128.091	-314.084	241.783	613.768	-168.958	-470.471	9.441	170.691	-70.268	741.977
364	3.63000	34.105	-50.882	190.943	203.445	115.263	114.242	742.058	578.447	325.405	338.103	-56.155	302.827	-163.093	41.676	-36.666
365	3.64000	-66.523	-192.804	-233.637	-264.032	49.389	-234.013	-821.580	-691.977	-451.785	-378.601	58.112	-547.754	207.232	-138.177	-508.578
366	3.65000	17.991	193.757	343.533	90.807	78.435	138.666	509.811	333.141	-29.749	381.995	-111.940	427.619	-292.319	283.042	337.368
367	3.66000	-69.498	-165.336	-106.152	30.026	-265.732	-148.990	-547.497	-258.768	61.626	-146.285	359.168	-224.761	363.518	-506.133	-119.151
368	3.67000	-322.710	154.809	-421.110	-6.148	234.786	205.079	381.258	85.182	-15.581	-52.518	-187.758	15.543	-58.190	423.994	-54.448
369	3.68000	610.801	231.647	413.237	76.179	-192.726	49.264	29.238	167.479	16.255	-67.686	-47.568	197.442	-362.345	-9.604	222.590
370	3.69000	-271.275	-356.995	-100.421	-21.418	175.032	-307.874	77.029	-198.701	-111.117	215.348	-156.476	2.412	324.106	-260.851	-238.202
371	3.70000	-105.503	166.115	161.477	-209.699	-456.446	103.100	-364.879	-600.640	-132.798	-246.216	489.974	-109.671	175.355	124.525	201.181
