NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
357	3.56000	226.415	273.676	36.137	375.387	272.302	34.087	373.196	122.677	38.156	303.304	196.303	56.546	224.926	122.640	38.061
358	3.57000	226.432	273.663	36.164	375.371	272.297	34.083	373.217	122.654	38.171	303.306	196.322	56.544	224.902	122.669	38.116
359	3.58000	226.419	273.671	36.179	375.411	272.297	34.107	373.211	122.699	38.166	303.289	196.298	56.545	224.914	122.654	38.060
360	3.59000	226.431	273.670	36.160	375.407	272.287	34.110	373.189	122.629	38.112	303.311	196.331	56.542	224.931	122.666	38.066
361	3.60000	226.424	273.664	36.140	375.397	272.293	34.097	373.230	122.700	38.162	303.290	196.324	56.569	224.942	122.668	38.074
362	3.61000	226.407	273.649	36.151	375.418	272.310	34.111	373.202	122.680	38.168	303.314	196.298	56.554	224.925	122.654	38.108
363	3.62000	226.403	273.663	36.154	375.396	272.292	34.098	373.210	122.648	38.117	303.315	196.340	56.547	224.913	122.661	38.059
364	3.63000	226.411	273.671	36.145	375.392	272.283	34.098	373.186	122.640	38.126	303.299	196.334	56.540	224.918	122.661	38.085
365	3.64000	226.422	273.673	36.154	375.407	272.286	34.110	373.237	122.690	38.168	303.316	196.323	56.564	224.907	122.665	38.107
366	3.65000	226.427	273.657	36.141	375.397	272.294	34.098	373.205	122.671	38.165	303.296	196.318	56.533	224.917	122.656	38.078
367	3.66000	226.434	273.659	36.161	375.395	272.310	34.100	373.224	122.685	38.159	303.314	196.301	56.545	224.897	122.674	38.082
368	3.67000	226.434	273.645	36.171	375.397	272.299	34.087	373.189	122.674	38.160	303.317	196.321	56.534	224.914	122.643	38.075
369	3.68000	226.401	273.647	36.139	375.398	272.311	34.095	373.192	122.670	38.158	303.315	196.321	56.525	224.925	122.653	38.063
370	3.69000	226.429	273.672	36.148	375.406	272.304	34.107	373.197	122.684	38.158	303.306	196.317	56.535	224.900	122.662	38.072
371	3.70000	226.431	273.661	36.148	375.413	272.315	34.089	373.211	122.678	38.148	303.319	196.297	56.546	224.907	122.646	38.058
372	3.71000	226.422	273.667	36.163	375.398	272.280	34.081	373.188	122.611	38.123	303.307	196.326	56.546	224.932	122.642	38.064
373	3.72000	226.411	273.661	36.138	375.383	272.291	34.084	373.213	122.658	38.180	303.306	196.302	56.546	224.903	122.640	38.067
374	3.73000	226.426	273.667	36.146	375.410	272.303	34.098	373.211	122.672	38.161	303.307	196.274	56.527	224.922	122.668	38.091
375	3.74000	226.413	273.645	36.143	375.412	272.297	34.093	373.217	122.680	38.161	303.319	196.285	56.506	224.920	122.681	38.097
376	3.75000	226.437	273.675	36.148	375.403	272.303	34.096	373.195	122.661	38.157	303.321	196.294	56.508	224.937	122.657	38.079
377	3.76000	226.433	273.696	36.158	375.417	272.298	34.085	373.225	122.661	38.172	303.289	196.275	56.541	224.919	122.656	38.073
378	3.77000	226.427	273.689	36.160	375.423	272.319	34.109	373.224	122.686	38.158	303.315	196.306	56.502	224.934	122.671	38.073
379	3.78000	226.427	273.674	36.156	375.410	272.319	34.087	373.216	122.676	38.165	303.290	196.305	56.545	224.905	122.675	38.078
380	3.79000	226.419	273.685	36.137	375.396	272.281	34.086	373.225	122.670	38.180	303.332	196.309	56.536	224.925	122.657	38.070
381	3.80000	226.419	273.682	36.166	375.396	272.292	34.098	373.223	122.680	38.177	303.306	196.308	56.530	224.928	122.687	38.104
382	3.81000	226.423	273.660	36.151	375.414	272.316	34.077	373.202	122.670	38.161	303.323	196.312	56.543	224.922	122.647	38.086
383	3.82000	226.409	273.683	36.126	375.399	272.291	34.093	373.197	122.669	38.182	303.295	196.314	56.534	224.935	122.664	38.056
384	3.83000	226.403	273.646	36.136	375.406	272.307	34.101	373.213	122.685	38.145	303.299	196.298	56.542	224.907	122.638	38.095
385	3.84000	226.436	273.683	36.149	375.418	272.297	34.099	373.209	122.670	38.153	303.316	196.324	56.529	224.923	122.650	38.094
386	3.85000	226.431	273.703	36.134	375.404	272.308	34.085	373.189	122.655	38.178	303.313	196.335	56.556	224.856	122.655	38.077
387	3.86000	226.424	273.684	36.163	375.385	272.288	34.081	373.200	122.673	38.147	303.298	196.327	56.536	224.935	122.677	38.097
388	3.87000	226.415	273.670	36.153	375.408	272.288	34.105	373.222	122.668	38.160	303.318	196.306	56.504	224.892	122.648	38.064
389	3.88000	226.415	273.678	36.146	375.410	272.291	34.086	373.201	122.676	38.145	303.316	196.273	56.528	224.921	122.657	38.058
390	3.89000	226.420	273.692	36.156	375.396	272.313	34.084	373.209	122.646	38.171	303.336	196.294	56.499	224.938	122.648	38.077
391	3.90000	226.437	273.675	36.146	375.396	272.307	34.093	373.188	122.670	38.171	303.288	196.309	56.508	224.910	122.678	38.096
392	3.91000	226.431	273.687	36.160	375.409	272.292	34.093	373.199	122.655	38.163	303.315	196.286	56.518	224.936	122.669	38.116
393	3.92000	226.406	273.647	36.119	375.387	272.317	34.072	373.185	122.665	38.156	303.306	196.312	56.527	224.933	122.660	38.111
394	3.93000	226.417	273.676	36.143	375.395	272.323	34.098	373.213	122.671	38.167	303.322	196.281	56.523	224.934	122.689	38.115
395	3.94000	226.423	273.685	36.148	375.400	272.312	34.074	373.216	122.662	38.161	303.331	196.291	56.507	224.910	122.634	38.059
396	3.95000	226.438	273.682	36.152	375.423	272.295	34.107	373.217	122.640	38.128	303.327	196.279	56.499	224.913	122.647	38.080
397	3.96000	226.420	273.664	36.138	375.397	272.309	34.095	373.218	122.657	38.139	303.305	196.308	56.502	224.920	122.646	38.093
398	3.97000	226.424	273.683	36.147	375.386	272.304	34.081	373.206	122.685	38.162	303.313	196.281	56.508	224.932	122.641	38.073
399	3.98000	226.602	273.852	36.155	375.226	272.415	34.111	373.046	122.470	38.171	303.328	196.303	56.520	225.134	122.387	38.002
400	3.99000	226.511	273.776	36.136	375.254	272.394	34.122	373.107	122.564	38.146	303.340	196.295	56.497	225.017	122.604	38.073
401	4.00000	226.571	273.804	36.140	375.298	272.409	34.119	373.156	122.604	38.163	303.339	196.282	56.512	225.111	122.443	38.003
402	4.01000	226.483	273.741	36.163	375.334	272.337	34.063	373.118	122.565	38.173	303.333	196.287	56.521	225.024	122.492	38.020
403	4.02000	226.472	273.687	36.144	375.298	272.411	34.110	373.163	122.613	38.166	303.343	196.284	56.505	225.055	122.474	38.008
404	4.03000	226.509	273.734	36.137	375.208	272.395	34.078	373.107	122.573	38.162	303.344	196.302	56.524	225.021	122.514	38.039
405	4.04000	226.501	273.764	36.156	375.343	272.293	34.136	373.145	122.582	38.216	303.324	196.313	56.530	225.011	122.511	38.032
406	4.05000	226.532	273.758	36.182	375.217	272.301	34.162	372.912	122.898	38.559	303.326	196.277	56.547	225.035	122.562	38.101
407	4.06000	226.480	273.726	36.168	375.228	272.243	34.099	372.642	123.211	39.072	303.324	196.295	56.543	224.990	122.546	38.132
408	4.07000	226.470	273.769	36.182	375.179	272.200	34.187	373.027	123.206	38.798	303.298	196.273	56.557	225.060	122.491	38.193
