NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
357	3.56000	1.664	0.310	0.661	-0.542	-0.373	-0.175	1.330	-0.927	1.157	0.187	-0.020	-0.448	-0.365	-0.190	0.149
358	3.57000	0.227	-0.240	2.081	1.190	-0.261	1.007	0.753	1.060	0.509	-0.744	-0.221	-0.069	-0.616	0.701	-0.068
359	3.58000	-0.058	0.335	-0.213	1.771	-0.511	1.340	-1.412	-1.240	-2.992	0.226	0.450	-0.125	1.429	-0.146	-2.497
360	3.59000	0.217	-0.339	-1.926	-0.738	-0.166	-0.480	0.914	0.079	-0.182	0.034	1.273	1.196	1.383	0.728	0.709
361	3.60000	-1.189	-1.051	-0.455	0.577	1.150	0.044	0.663	2.548	2.839	0.173	-1.627	0.620	-0.311	-0.581	2.095
362	3.61000	-1.029	-0.067	0.709	-0.014	-0.058	0.037	-0.982	-2.616	-2.273	1.249	0.795	-1.085	-1.446	-0.349	-0.738
363	3.62000	0.193	1.072	-0.310	-1.321	-1.317	-0.627	-0.799	-1.986	-2.106	-0.782	1.799	-0.700	-0.325	0.351	-1.160
364	3.63000	0.977	0.517	0.008	0.564	-0.297	0.584	1.341	2.116	2.590	0.064	-0.834	0.861	-0.287	0.208	2.366
365	3.64000	0.815	-0.701	-0.205	0.261	0.527	-0.015	0.944	1.548	1.958	-0.138	-0.824	-0.364	-0.066	-0.274	-0.360
366	3.65000	0.572	-0.697	0.344	-0.605	1.166	-0.491	-0.615	-0.246	-0.450	-0.122	-1.094	-0.964	-0.492	0.450	-1.216
367	3.66000	0.314	-0.555	1.531	-0.001	0.229	-0.543	-0.804	0.126	-0.290	1.057	0.143	0.050	-0.136	-0.665	-0.125
368	3.67000	-1.647	-0.607	-1.105	0.118	0.074	-0.263	-1.635	-0.742	-0.060	0.063	1.000	-0.996	1.391	-1.076	-0.993
369	3.68000	-0.206	1.325	-1.145	0.468	0.285	1.009	0.418	0.521	-0.057	-0.538	-0.177	0.069	-0.712	0.996	-0.152
370	3.69000	1.492	0.698	0.420	0.742	0.196	-0.284	0.949	0.365	-0.531	0.200	-1.197	1.068	-0.903	-0.356	-0.230
371	3.70000	-0.392	-0.256	0.725	-0.414	-1.211	-1.308	-0.490	-3.632	-1.750	0.046	0.470	0.532	1.594	-1.038	-0.415
